"Name","Image","Expansion","Variation","Era","Origin","Origin Style","Shot Type","Vibe","Type","","Brains","Brawn","Tongue","Hands","Attack","Defense","Description","Effect","","Action","Backdrop Vibe","Backdrop","Artist","Artist Prompt","","Prompt","Link","Image URL","ID","","","Brains Word","Brawn Word","Tongue Word","Hands Word","","","",""
"The One Who Knows (Steward Form)","","","","Age of Resurrection","Heart of Noo","swirl-chrome goth-baroque","low angle shot","turquoise and gold","jellyfish","","3","2","3","1","Medium","Medium","","","","hovering","open","sky","Sappo Selizo","Metamorphosis of Narcissus, by Ralph Bakshi, IMAX, intricate, by Frank Miller","","a  swirl-chrome goth-baroque turquoise and gold jellyfish hovering in a open sky, genius, strong, charismatic, clumsy, Metamorphosis of Narcissus, by Ralph Bakshi, IMAX, intricate, by Frank Miller --dd","https://www.midjourney.com/app/jobs/c1c1f33f-d373-4a39-8e85-8ed8007b86ba/","https://cdn.midjourney.com/af445b2e-7e3a-4f3b-af29-17e10f0e9f81/0_1.png","c1c1f33f-d373-4a39-8e85-8ed8007b86ba","","kdjvkdjfkdjkfjdkfjdkfjdkfjdkjfdfjdjkfdjdkjfdfdfdfd klvldkldklfdfgfgfgfgfgfgfcvcd","genius","strong","charismatic","clumsy","","","",""
"Olf","","The Worldsplitter","","High Ages","Glads","snowviking wolforgan","aerial view","clawed","owl","","2","1","0","2","Medium","Medium","","","","","exuberant","tree","Hither, Hither","in the style of Silent Hill and Courage the Cowardly Dog, tapestry, by Mark Bradford, colour grading, rough heavily textured canvas --niji 6","","a  snowviking wolforgan clawed owl  in a exuberant tree, smart, weak, repulsive, crafty, in the style of Silent Hill and Courage the Cowardly Dog, tapestry, by Mark Bradford, colour grading, rough heavily textured canvas --niji 6 --dd","https://www.midjourney.com/app/jobs/5f6293d3-4498-4f23-8f85-f754a91ef422/","https://media.discordapp.net/attachments/1010678628352262184/1120821305617436682/acrownofmoths_a_snow-viking_wolf-organ_clawed_owl_wolf_creature_5f6293d3-4498-4f23-8f85-f754a91ef422.png","5f6293d3-4498-4f23-8f85-f754a91ef422","","kdjvkdjfkdjkfjdkfjdkfjdkfjdkjfdfjdjkfdjdkjfdfdfdfd klvldkldklfdfgfgfgfgfgfgfcvcd","smart","weak","repulsive","crafty","","","",""
"Whirlfish","","","","Age of Resurrection","Kelpers","kelp-core post-apocalypse","","complex","fish","","0","1","1","0","Light","Light","","","","","dangerous","tide","Frimda Pairee","by W. Heath Robinson, by Andrew Hussie, in the style of Frida Kahlo","","a  kelp-core post-apocalypse complex fish  in a dangerous tide, moronic, weak, embarrassing, useless, by W. Heath Robinson, by Andrew Hussie, in the style of Frida Kahlo --dd","https://www.midjourney.com/app/jobs/382bc68c-13c6-4e35-a31b-9c9df110d577/","https://media.discordapp.net/attachments/1010678628352262184/1119013719247179918/acrownofmoths_extreme_close-up_of_a_kelp-core_post-apocalypse_c_382bc68c-13c6-4e35-a31b-9c9df110d577.png","382bc68c-13c6-4e35-a31b-9c9df110d577","","kdjvkdjfkdjkfjdkfjdkfjdkfjdkjfdfjdjkfdjdkjfdfdfdfd klvldkldklfdfgfgfgfgfgfgfcvcd","moronic","weak","embarrassing","useless","","","",""
"Deepgrubs","","","","Age of Resurrection","Tifn Scavenger","dark-abyss rust-labyrinth","","horrid","grubs","","0","0","0","0","Medium","Medium","","","","","traumatic","abyss","Quax Lopson","cosmic horror, copic markers, modernism, Industrial Light and Magic, psychedelic","","a  dark-abyss rust-labyrinth horrid grubs  in a traumatic abyss, moronic, pathetic, repulsive, useless, cosmic horror, copic markers, modernism, Industrial Light and Magic, psychedelic --dd","https://www.midjourney.com/app/jobs/50b19659-27c6-4214-add9-bf863dfbef6b/","https://media.discordapp.net/attachments/1010832809402830908/1124481883607146506/acrownofmoths_close-up_of_a_swarm_of_dark-abyss_rust-labyrinth__50b19659-27c6-4214-add9-bf863dfbef6b.png","50b19659-27c6-4214-add9-bf863dfbef6b","","kdjvkdjfkdjkfjdkfjdkfjdkfjdkjfdfjdjkfdjdkjfdfdfdfd klvldkldklfdfgfgfgfgfgfgfcvcd","moronic","pathetic","repulsive","useless","","","",""
"Ratfang","","","","Intermissional Ages","Secorras Rovers","concrete-collapse pale-rover","","spiky","cockroach monster","","1","1","0","2","Light","Heavy","","","","","ruined","alley","Kia Perelo","embroidery artwork on linen, painted on porcelain, in the style of Neverwinter Nights, in the style of Victoria's Secret","","a  concrete-collapse pale-rover spiky cockroach monster  in a ruined alley, stupid, weak, repulsive, crafty, embroidery artwork on linen, painted on porcelain, in the style of Neverwinter Nights, in the style of Victoria's Secret --dd","https://www.midjourney.com/app/jobs/30572c9f-123d-48d5-8e7b-2fdc43eb7730/","https://media.discordapp.net/ephemeral-attachments/1010832809402830908/1123932574214004776/acrownofmoths_a_concretecollapse_palerover_spiky_cockroach_mons_30572c9f-123d-48d5-8e7b-2fdc43eb7730.png","30572c9f-123d-48d5-8e7b-2fdc43eb7730","","kdjvkdjfkdjkfjdkfjdkfjdkfjdkjfdfjdjkfdjdkjfdfdfdfd klvldkldklfdfgfgfgfgfgfgfcvcd","stupid","weak","repulsive","crafty","","","",""
"Ice Mole","","","","Intermissional Ages","Glads","snowviking wolforgan","","monstrous","mole","","0","3","0","2","Heavy","Heavy","","","","","fertid","gorge","Jyn Furso","HDR, Byzantine art style, by Rembrandt, by Sandro Botticelli, pictograph, by Andrei Tarkovsky","","a  snowviking wolforgan monstrous mole  in a fertid gorge, moronic, powerful, repulsive, crafty, HDR, Byzantine art style, by Rembrandt, by Sandro Botticelli, pictograph, by Andrei Tarkovsky --dd","https://www.midjourney.com/app/jobs/68f28d1f-dbe1-48a3-8423-748f7dbed55c/","https://media.discordapp.net/attachments/1010678628352262184/1121643174411128832/acrownofmoths_a_snowviking_wolforgan_monstrous_mole_creature_in_68f28d1f-dbe1-48a3-8423-748f7dbed55c.png","68f28d1f-dbe1-48a3-8423-748f7dbed55c","","kdjvkdjfkdjkfjdkfjdkfjdkfjdkjfdfjdjkfdjdkjfdfdfdfd klvldkldklfdfgfgfgfgfgfgfcvcd","moronic","powerful","repulsive","crafty","","","",""
"Cleanser","","","","High Ages","Heart of Noo","swirl-chrome goth-baroque","","deadly","assassin","","3","1","2","0","Heavy","Light","","","","","dry","factory","Ghast","pop surrealism, spooky, graphic design, Ragnarok Online, A Nightmare Before Christmas","","a  swirl-chrome goth-baroque deadly assassin  in a dry factory, genius, weak, eloquent, useless, pop surrealism, spooky, graphic design, Ragnarok Online, A Nightmare Before Christmas --dd","https://www.midjourney.com/app/jobs/04fd4f26-ed91-47ee-ab64-7c9decc71cb2/","https://media.discordapp.net/attachments/1010678628352262184/1120294158108729354/acrownofmoths_a_swirl-chrome_goth-baroque_deadly_assassin_in_a__04fd4f26-ed91-47ee-ab64-7c9decc71cb2.png","04fd4f26-ed91-47ee-ab64-7c9decc71cb2","","kdjvkdjfkdjkfjdkfjdkfjdkfjdkjfdfjdjkfdjdkjfdfdfdfd klvldkldklfdfgfgfgfgfgfgfcvcd","genius","weak","eloquent","useless","","","",""
"Gallowhip","","","","Intermissional Ages","Secorras Rovers","concrete-collapse pale-rover","low angle view","slender","basilisk","","3","3","0","1","Light","Medium","","","","crawling","hideous","hall","Alter","B movie, by Yoko Taro, Gravity's Rainbow, mandelbrot, early 3D render, comic book art","","a  concrete-collapse pale-rover slender basilisk crawling in a hideous hall, genius, powerful, repulsive, clumsy, B movie, by Yoko Taro, Gravity's Rainbow, mandelbrot, early 3D render, comic book art --dd","https://www.midjourney.com/app/jobs/f9d6b87a-2b83-4e33-bee9-d2c15a828caa/","https://media.discordapp.net/attachments/1010832809402830908/1109257940789100646/motte_a_low_angle_view_of_a_concrete-collapse_pale-rover_slende_f9d6b87a-2b83-4e33-bee9-d2c15a828caa.png","f9d6b87a-2b83-4e33-bee9-d2c15a828caa","","kdjvkdjfkdjkfjdkfjdkfjdkfjdkjfdfjdjkfdjdkjfdfdfdfd klvldkldklfdfgfgfgfgfgfgfcvcd","genius","powerful","repulsive","clumsy","","","",""
"Greth","","","","Intermissional Ages","Dusky Canopies","duskillusion canopyconfusion","action shot","stocky","xorn","","0","3","0","1","Heavy","Medium","","","","","wrathful","clearing","Fetcher Mepplesbog","remaster, neo-traditional digital painting, in the style of Studio Ghibli, by Hideaki Anno","","a  duskillusion canopyconfusion stocky xorn  in a wrathful clearing, moronic, powerful, repulsive, clumsy, remaster, neo-traditional digital painting, in the style of Studio Ghibli, by Hideaki Anno --dd","https://www.midjourney.com/app/jobs/155f318d-5a80-42df-b9a3-b03d81c0e4d0/","https://media.discordapp.net/attachments/1010678628352262184/1116674739369418833/motte_a_duskillusion_canopyconfusion_stocky_xorn_in_a_wrathful__155f318d-5a80-42df-b9a3-b03d81c0e4d0.png","155f318d-5a80-42df-b9a3-b03d81c0e4d0","","kdjvkdjfkdjkfjdkfjdkfjdkfjdkjfdfjdjkfdjdkjfdfdfdfd klvldkldklfdfgfgfgfgfgfgfcvcd","moronic","powerful","repulsive","clumsy","","","",""
"Aetherwhale","","","","High Ages","Aetherwilds","void-colour aether-gaze","","flying","whale","","3","2","1","0","Heavy","Heavy","","","","","nebulous","aether","Oleander Plix","by Black Olive, traditional, Fawn Gehweiler, expressionism, Juxtapoz Illustration, by Ralph Steadman","","a  void-colour aether-gaze flying whale  in a nebulous aether, genius, strong, embarrassing, useless, by Black Olive, traditional, Fawn Gehweiler, expressionism, Juxtapoz Illustration, by Ralph Steadman --dd","https://www.midjourney.com/app/jobs/7c62cbd7-61a9-463e-b2de-becd2ed6925f/","https://media.discordapp.net/attachments/1010832809402830908/1124146418823745608/acrownofmoths_close-up_of_a_void-colour_aether-gaze_flying_spac_7c62cbd7-61a9-463e-b2de-becd2ed6925f.png","7c62cbd7-61a9-463e-b2de-becd2ed6925f","","kdjvkdjfkdjkfjdkfjdkfjdkfjdkjfdfjdjkfdjdkjfdfdfdfd klvldkldklfdfgfgfgfgfgfgfcvcd","genius","strong","embarrassing","useless","","","",""
"Peryl","","","","Intermissional Ages","Dusky Canopies","duskillusion canopyconfusion","medium shot","skinned","raptor","","2","2","0","2","Light","Medium","","","","hunting","breathtaking","autumn forest","Alter","B movie, by Yoko Taro, Gravity's Rainbow, mandelbrot, early 3D render, comic book art","","a  duskillusion canopyconfusion skinned raptor hunting in a breathtaking autumn forest, smart, strong, repulsive, crafty, B movie, by Yoko Taro, Gravity's Rainbow, mandelbrot, early 3D render, comic book art --dd","https://www.midjourney.com/app/jobs/cd9d5df8-87b7-48a7-a85b-abada5c625d7/","https://cdn.midjourney.com/b80e96de-7475-4574-867a-08f499bc8869/0_0.png","cd9d5df8-87b7-48a7-a85b-abada5c625d7","","kdjvkdjfkdjkfjdkfjdkfjdkfjdkjfdfjdjkfdjdkjfdfdfdfd klvldkldklfdfgfgfgfgfgfgfcvcd","smart","strong","repulsive","crafty","","","",""
"Dark Peryl","","","dark","Intermissional Ages","Dusky Canopies","duskillusion canopyconfusion","","skinned","raptor","","2","3","0","2","Light","Medium","","","","","","","Alter","B movie, by Yoko Taro, Gravity's Rainbow, mandelbrot, early 3D render, comic book art","","a dark duskillusion canopyconfusion skinned raptor  in a  , smart, powerful, repulsive, crafty, B movie, by Yoko Taro, Gravity's Rainbow, mandelbrot, early 3D render, comic book art --dd","https://www.midjourney.com/app/jobs/1bb1d606-f478-4292-b0cd-3f9d796f94d3/","https://cdn.midjourney.com/6e240f43-e84a-4195-8855-7887b34ac8fa/0_0.png","1bb1d606-f478-4292-b0cd-3f9d796f94d3","","kdjvkdjfkdjkfjdkfjdkfjdkfjdkjfdfjdjkfdjdkjfdfdfdfd klvldkldklfdfgfgfgfgfgfgfcvcd","smart","powerful","repulsive","crafty","","","",""
"Large Peryl","","","large","Intermissional Ages","Dusky Canopies","duskillusion canopyconfusion","","skinned","raptor","","2","3","0","2","Light","Medium","","","","","","","Alter","B movie, by Yoko Taro, Gravity's Rainbow, mandelbrot, early 3D render, comic book art","","a large duskillusion canopyconfusion skinned raptor  in a  , smart, powerful, repulsive, crafty, B movie, by Yoko Taro, Gravity's Rainbow, mandelbrot, early 3D render, comic book art --dd","https://www.midjourney.com/app/jobs/f056c0cd-898b-45b3-bb34-d89358ab01ac/","https://cdn.midjourney.com/a31dc72f-250f-4703-b842-a7de2a4a01aa/0_2.png","f056c0cd-898b-45b3-bb34-d89358ab01ac","","kdjvkdjfkdjkfjdkfjdkfjdkfjdkjfdfjdjkfdjdkjfdfdfdfd klvldkldklfdfgfgfgfgfgfgfcvcd","smart","powerful","repulsive","crafty","","","",""
"Alpha Octoghast","","","alpha","Age of Resurrection","Kelpers","kelp-core post-apocalypse","","flying","demogorgon","","2","2","1","0","Heavy","Heavy","","","","","","","Ponder","art by Loish, rough draft, sumi-e, Darkest Dungeon, raytracing","","a alpha kelp-core post-apocalypse flying demogorgon  in a  , smart, strong, embarrassing, useless, art by Loish, rough draft, sumi-e, Darkest Dungeon, raytracing --dd","https://www.midjourney.com/app/jobs/d519a2ed-df06-4e19-918c-0f5cdedf3113/","https://cdn.midjourney.com/31e42f66-9e7f-4259-b55f-a9b5923b0965/0_0.png","d519a2ed-df06-4e19-918c-0f5cdedf3113","","kdjvkdjfkdjkfjdkfjdkfjdkfjdkjfdfjdjkfdjdkjfdfdfdfd klvldkldklfdfgfgfgfgfgfgfcvcd","smart","strong","embarrassing","useless","","","",""
"Boss Octoghast","","","boss","Age of Resurrection","Kelpers","kelp-core post-apocalypse","","flying","demogorgon","","2","2","1","0","Heavy","Heavy","","","","","","","Ponder","art by Loish, rough draft, sumi-e, Darkest Dungeon, raytracing","","a boss kelp-core post-apocalypse flying demogorgon  in a  , smart, strong, embarrassing, useless, art by Loish, rough draft, sumi-e, Darkest Dungeon, raytracing --dd","https://www.midjourney.com/app/jobs/7f35a4af-6c9c-4f00-9365-3c9910d7e8fc/","https://cdn.midjourney.com/e2e41fa5-099b-4172-92a0-f53a83c80668/0_2.png","7f35a4af-6c9c-4f00-9365-3c9910d7e8fc","","kdjvkdjfkdjkfjdkfjdkfjdkfjdkjfdfjdjkfdjdkjfdfdfdfd klvldkldklfdfgfgfgfgfgfgfcvcd","smart","strong","embarrassing","useless","","","",""
"Aggressive Feeder","","","aggressive","Age of Resurrection","Kelpers","kelp-core post-apocalypse","","complex","moray eel","","2","1","0","3","Heavy","Medium","","","","","sunken","city","Pirie Lengrix","chaotic and psychotic, by alex pardee, by chris riddell, cryengine, octane render, juxtapoz illustration, ink lineart, flat shaded","","a aggressive kelp-core post-apocalypse complex moray eel  in a sunken city, smart, weak, repulsive, skilled, chaotic and psychotic, by alex pardee, by chris riddell, cryengine, octane render, juxtapoz illustration, ink lineart, flat shaded --dd","https://www.midjourney.com/app/jobs/198a1392-6f72-4f79-a688-87490020c19b/","https://media.discordapp.net/attachments/1010832809402830908/1124469340515881112/acrownofmoths_a_aggressive_kelp-core_post-apocalypse_complex_mo_198a1392-6f72-4f79-a688-87490020c19b.png","198a1392-6f72-4f79-a688-87490020c19b","","kdjvkdjfkdjkfjdkfjdkfjdkfjdkjfdfjdjkfdjdkjfdfdfdfd klvldkldklfdfgfgfgfgfgfgfcvcd","smart","weak","repulsive","skilled","","","",""
"Common Feeder","","","common","Age of Resurrection","Kelpers","kelp-core post-apocalypse","","tired","moray eel","","2","1","0","3","Heavy","Medium","","","","","underwater","kelp forest","Pirie Lengrix","chaotic and psychotic, by alex pardee, by chris riddell, cryengine, octane render, juxtapoz illustration, ink lineart, flat shaded","","a common kelp-core post-apocalypse tired moray eel  in a underwater kelp forest, smart, weak, repulsive, skilled, chaotic and psychotic, by alex pardee, by chris riddell, cryengine, octane render, juxtapoz illustration, ink lineart, flat shaded --dd","https://www.midjourney.com/app/jobs/7820f973-66d6-402b-8a14-ceee22906575/","https://media.discordapp.net/attachments/1010832809402830908/1124467620679266354/acrownofmoths_a_common_kelp-core_post-apocalypse_demonic_moray__7820f973-66d6-402b-8a14-ceee22906575.png","7820f973-66d6-402b-8a14-ceee22906575","","kdjvkdjfkdjkfjdkfjdkfjdkfjdkjfdfjdjkfdjdkjfdfdfdfd klvldkldklfdfgfgfgfgfgfgfcvcd","smart","weak","repulsive","skilled","","","",""
"Feeder","","","","Age of Resurrection","Kelpers","kelp-core post-apocalypse","","tired","moray eel","","2","1","0","3","Heavy","Medium","","","","","heavy","bayou","Pirie Lengrix","chaotic and psychotic, by alex pardee, by chris riddell, cryengine, octane render, juxtapoz illustration, ink lineart, flat shaded","","a  kelp-core post-apocalypse tired moray eel  in a heavy bayou, smart, weak, repulsive, skilled, chaotic and psychotic, by alex pardee, by chris riddell, cryengine, octane render, juxtapoz illustration, ink lineart, flat shaded --dd","https://www.midjourney.com/app/jobs/27270c2f-7a2b-40b3-94c5-11e889c4d5ba/","https://media.discordapp.net/attachments/1010832809402830908/1124465652594397324/acrownofmoths_a_kelp-core_post-apocalypse_long-mouthed_moray_ee_27270c2f-7a2b-40b3-94c5-11e889c4d5ba.png","27270c2f-7a2b-40b3-94c5-11e889c4d5ba","","kdjvkdjfkdjkfjdkfjdkfjdkfjdkjfdfjdjkfdjdkjfdfdfdfd klvldkldklfdfgfgfgfgfgfgfcvcd","smart","weak","repulsive","skilled","","","",""
